CATEGORY,ITEM CODE,DESCRIPTION,SUPPLIER,UNIT PRICE,OPENING STOCKS,PURCHASE QUANTITY,SALES QUANTITY,ENDING STOCKS,RETAIL PRICE
ACCESSORIES,ACS012,BUTTERFLY TMX 125,WEDZZ,196,0,0,0,0,320
ENGINE,ENG012,CAM CHAIN TENSIOER ASSY,WALKIN,560,2,0,0,2,700
ENGINE,ENG190,CAM CHAIN TENSIONER GUIDE MIO - YSK,ARB18,75,5,0,0,5,130
ENGINE,ENG189,CAM CHAIN TENSIONER MIOI125/SOUL - GPC,ARB18,142,2,0,0,2,230
ENGINE,ENG013,CAM GEAR SOULi125/M3,WALKIN,125,0,0,0,0,175
ENGINE,ENG014,CAM GUIDE CHAIN XRM125/WAVE125,BAMC,44,4,0,0,4,100
ENGINE,ENG121,CAM SPROCKET STARTER XRM110 - YAKIMOTO,BAMC,65,2,0,0,2,115
BOLT & NUT,BNT007,CAP SCREW STAINLESS 8X40mm,BAMC,14,15,0,0,15,40
ENGINE,ENG017,CARBURETOR ASSEMBLY 26MM - LTEUS,PANGMASA,300,1,0,0,1,600
ENGINE,ENG018,CARBURETOR ASSEMBLY 28MM - KEIHIN,BAMC,400,0,0,0,0,800
ENGINE,ENG019,CARBURETOR ASSEMBLY MIO - KEIHIN,ARB18,553,0,0,0,0,950
ENGINE,ENG021,CARBURETOR ASSEMBLYY MIOAMORE/SPORTY/SOUL/NOUVO - SEPTWOLVES,BAMC,550,0,0,0,0,1100
ENGINE,ENG022,CARBURETOR ASSEMBLYY RS100 - SEPTWOLVES,BAMC,400,1,0,0,1,800
CLEANER,CLN022,CARBURETOR CLEANER 450mL - KOBY,WEDZZ,78,0,0,0,0,130
ENGINE,ENG196,CARBURETOR MIO SOUL - SPD,ARB18,845,1,0,0,1,1100
ENGINE,ENG023,CARBURETOR REPAIR KIT  78MM - RBR,WALKIN,45,1,0,0,1,100
ENGINE,ENG024,CARBURETOR REPAIR KIT BEAT - YAKIMUTO,PANGMASA,45,3,0,0,3,100
ENGINE,ENG025,CARBURETOR REPAIR KIT C100 - CW,PANGMASA,45,0,0,0,0,100
ENGINE,ENG026,CARBURETOR REPAIR KIT CLICK - OTAKA,PANGMASA,45,4,0,0,4,100
ENGINE,ENG027,CARBURETOR REPAIR KIT CT100-SW,PANGMASA,45,10,0,0,10,100
ENGINE,ENG028,CARBURETOR REPAIR KIT HD3 - SW,PANGMASA,45,5,0,0,5,100
ENGINE,ENG029,CARBURETOR REPAIR KIT MIO - KRYON,PANGMASA,45,0,0,0,0,100
ENGINE,ENG186,CARBURETOR REPAIR KIT MIO - TAKASAGO,ARB18,80,2,0,0,2,130
ENGINE,ENG030,CARBURETOR REPAIR KIT RUSI - GRS,PANGMASA,45,11,0,0,11,100
ENGINE,ENG031,CARBURETOR REPAIR KIT SHOGUN - CW,PANGMASA,45,4,0,0,4,100
ENGINE,ENG032,CARBURETOR REPAIR KIT SHOGUN - KRYON,PANGMASA,45,1,0,0,1,100
ENGINE,ENG033,CARBURETOR REPAIR KIT SMASH - KRYON,PANGMASA,45,1,0,0,1,100
ENGINE,ENG034,CARBURETOR REPAIR KIT TMX125 - OTAKA,BAMC,55,3,0,0,3,100
ENGINE,ENG035,CARBURETOR REPAIR KIT TMX155 - SUNTAL,BAMC,80,0,0,0,0,130
ENGINE,ENG198,CARBURETOR REPAIR KIT TMX155 CDI - LIMAN,ARB18,64,6,0,0,6,120
ENGINE,ENG185,CARBURETOR REPAIR KIT W100 - TAKASAGO,ARB18,75,5,0,0,5,130
ENGINE,ENG036,CARBURETOR REPAIR KIT WAVE - YAKIMUTO,PANGMASA,45,1,0,0,1,100
ENGINE,ENG037,CARBURETOR REPAIR KIT WAVE125 - KRYON,PANGMASA,55,2,0,0,2,100
